거래ID,선적일,구분,사업부,거래처,국가,품목,금액_USD,통화,인코텀즈,결제조건,결제예정일,결제상태,연체일수
TRD-25573,2026-01-11,삼국간,물류솔루션,Cairo Grid Co,이집트,해상운송,183900,USD,FOB,T/T 60,2026-03-26,완료,0
TRD-25574,2025-10-04,수출,물류솔루션,Dallas Solar Inc,미국,복합운송,194900,USD,CFR,T/T 30,2025-11-17,완료,0
TRD-25575,2026-05-18,수입,그린에너지,Al-Rashid Trading,UAE,태양광모듈,159000,USD,FOB,L/C Usance 90,2026-08-30,예정,0
TRD-25576,2025-08-23,수출,철강강관,Rotterdam AgriTrade,네덜란드,송유관,702000,USD,DAP,L/C Usance 90,2025-12-05,완료,0
TRD-25577,2025-06-17,수입,식량자원,Nagoya Parts Co,일본,대두,86600,USD,CFR,T/T 30,2025-07-31,완료,0
TRD-25578,2025-04-24,수출,철강강관,Siam Power Ltd,태국,구조용강관,191300,USD,CFR,L/C at sight,2025-05-08,연체,68
TRD-25579,2025-07-20,수출,차량소재,Hamburg Stahl GmbH,독일,전장부품,85900,USD,CIF,T/T 60,2025-10-02,연체,41
TRD-25580,2025-07-08,수출,차량소재,Lagos Agro Ltd,나이지리아,샤시모듈,214600,USD,FOB,L/C Usance 60,2025-09-20,완료,0
TRD-25581,2026-04-15,수출,그린에너지,Hamburg Stahl GmbH,독일,인버터,536800,USD,DAP,L/C Usance 60,2026-06-28,연체,71
TRD-25582,2026-02-01,수입,차량소재,Emirates Steel Est.,UAE,샤시모듈,42400,USD,CFR,T/T 60,2026-04-16,완료,0
TRD-25583,2025-01-09,수출,차량소재,Rotterdam AgriTrade,네덜란드,전장부품,239400,USD,FOB,L/C Usance 90,2025-04-23,완료,0
TRD-25584,2026-04-25,삼국간,철강판재,Siam Power Ltd,태국,열연코일,327500,USD,DAP,T/T 60,2026-07-08,예정,0
TRD-25585,2025-10-04,수출,차량소재,Nagoya Parts Co,일본,전장부품,256200,USD,DAP,T/T 60,2025-12-17,완료,0
TRD-25586,2025-07-07,수입,식량자원,Lagos Agro Ltd,나이지리아,밀,113900,USD,FOB,L/C Usance 60,2025-09-19,완료,0
TRD-25587,2026-03-18,수출,전력플랜트,Al-Rashid Trading,UAE,개폐기,114000,USD,FOB,L/C at sight,2026-04-01,완료,0
TRD-25588,2025-09-08,수입,그린에너지,Nagoya Parts Co,일본,태양광모듈,324800,USD,CIF,L/C Usance 90,2025-12-21,완료,0
TRD-25589,2025-03-13,삼국간,그린에너지,Hamburg Stahl GmbH,독일,ESS배터리,739700,USD,DAP,L/C Usance 60,2025-05-26,완료,0
TRD-25590,2025-08-09,수출,그린에너지,Siam Power Ltd,태국,태양광모듈,344900,USD,CIF,L/C at sight,2025-08-23,완료,0
TRD-25591,2025-02-07,수입,전력플랜트,Rotterdam AgriTrade,네덜란드,배전변압기,78300,USD,CIF,T/T 60,2025-04-22,완료,0
TRD-25592,2025-09-25,삼국간,철강판재,Osaka Trading KK,일본,열연코일,288100,USD,FOB,L/C at sight,2025-10-09,연체,56
TRD-25593,2025-02-21,수출,물류솔루션,Shanghai Bright Intl,중국,복합운송,110500,USD,CIF,L/C Usance 90,2025-06-05,완료,0
TRD-25594,2026-02-22,삼국간,그린에너지,Chennai Trans Co,인도,ESS배터리,52600,USD,FOB,L/C at sight,2026-03-08,완료,0
TRD-25595,2026-03-16,수입,그린에너지,Hanoi AutoParts,베트남,태양광모듈,111300,USD,CFR,L/C at sight,2026-03-30,완료,0
TRD-25596,2025-11-12,수출,물류솔루션,Osaka Trading KK,일본,해상운송,103300,USD,FOB,T/T 30,2025-12-26,완료,0
TRD-25597,2026-06-01,수출,차량소재,Dallas Solar Inc,미국,차체부품,458000,USD,CIF,L/C Usance 60,2026-08-14,예정,0
TRD-25598,2026-03-09,수입,철강판재,Hanoi AutoParts,베트남,열연코일,261100,USD,DAP,L/C Usance 60,2026-05-22,완료,0
TRD-25599,2025-02-15,삼국간,화학에너지,Nagoya Parts Co,일본,납사,265100,USD,CIF,L/C Usance 60,2025-04-30,완료,0
